generationScript,name,parameterValue,cohortId
StratifyByFollowUpTime.sql,Full 30-day follow up,30,100
StratifyByGender.sql,Female,8532,101
StratifyByAge.sql,Age >= 18,18,102
StratifyByAge.sql,Age >= 65,65,103
